	Strategy	Query	Class	Value
0	Random	q0	romance	1
1	Random	q0	mystery	0
2	Random	q0	comedy	21
3	Random	q0	action	1
4	Random	q0	horror	2
5	Random	q0	unknown	28
6	Random	q0	film noir	2
7	Random	q0	drama	26
8	Random	q0	crime drama	0
9	Random	q0	western	5
10	Random	q0	musical	3
11	Random	q0	thriller	7
12	Random	q0	crime	0
13	Random	q0	adventure	4
14	Random	q1	romance	2
15	Random	q1	mystery	3
16	Random	q1	comedy	11
17	Random	q1	action	1
18	Random	q1	horror	4
19	Random	q1	unknown	38
20	Random	q1	film noir	1
21	Random	q1	drama	24
22	Random	q1	crime drama	1
23	Random	q1	western	3
24	Random	q1	musical	3
25	Random	q1	thriller	2
26	Random	q1	crime	4
27	Random	q1	adventure	3
28	Random	q2	romance	1
29	Random	q2	mystery	2
30	Random	q2	comedy	27
31	Random	q2	action	4
32	Random	q2	horror	0
33	Random	q2	unknown	23
34	Random	q2	film noir	2
35	Random	q2	drama	24
36	Random	q2	crime drama	2
37	Random	q2	western	6
38	Random	q2	musical	1
39	Random	q2	thriller	1
40	Random	q2	crime	6
41	Random	q2	adventure	1
42	Random	q3	romance	3
43	Random	q3	mystery	2
44	Random	q3	comedy	22
45	Random	q3	action	6
46	Random	q3	horror	0
47	Random	q3	unknown	24
48	Random	q3	film noir	0
49	Random	q3	drama	22
50	Random	q3	crime drama	0
51	Random	q3	western	6
52	Random	q3	musical	0
53	Random	q3	thriller	6
54	Random	q3	crime	6
55	Random	q3	adventure	3
56	Random	q4	romance	1
57	Random	q4	mystery	2
58	Random	q4	comedy	19
59	Random	q4	action	7
60	Random	q4	horror	3
61	Random	q4	unknown	22
62	Random	q4	film noir	0
63	Random	q4	drama	27
64	Random	q4	crime drama	0
65	Random	q4	western	5
66	Random	q4	musical	2
67	Random	q4	thriller	4
68	Random	q4	crime	5
69	Random	q4	adventure	3
70	Random	q5	romance	3
71	Random	q5	mystery	1
72	Random	q5	comedy	13
73	Random	q5	action	4
74	Random	q5	horror	6
75	Random	q5	unknown	28
76	Random	q5	film noir	3
77	Random	q5	drama	20
78	Random	q5	crime drama	1
79	Random	q5	western	4
80	Random	q5	musical	6
81	Random	q5	thriller	5
82	Random	q5	crime	3
83	Random	q5	adventure	3
84	Random	q6	romance	6
85	Random	q6	mystery	3
86	Random	q6	comedy	19
87	Random	q6	action	4
88	Random	q6	horror	2
89	Random	q6	unknown	25
90	Random	q6	film noir	1
91	Random	q6	drama	29
92	Random	q6	crime drama	2
93	Random	q6	western	2
94	Random	q6	musical	1
95	Random	q6	thriller	2
96	Random	q6	crime	4
97	Random	q6	adventure	0
98	Random	q7	romance	7
99	Random	q7	mystery	2
100	Random	q7	comedy	20
101	Random	q7	action	1
102	Random	q7	horror	1
103	Random	q7	unknown	24
104	Random	q7	film noir	1
105	Random	q7	drama	31
106	Random	q7	crime drama	2
107	Random	q7	western	4
108	Random	q7	musical	1
109	Random	q7	thriller	1
110	Random	q7	crime	4
111	Random	q7	adventure	1
112	Uncertainty	q0	romance	1
113	Uncertainty	q0	mystery	0
114	Uncertainty	q0	comedy	21
115	Uncertainty	q0	action	1
116	Uncertainty	q0	horror	2
117	Uncertainty	q0	unknown	28
118	Uncertainty	q0	film noir	2
119	Uncertainty	q0	drama	26
120	Uncertainty	q0	crime drama	0
121	Uncertainty	q0	western	5
122	Uncertainty	q0	musical	3
123	Uncertainty	q0	thriller	7
124	Uncertainty	q0	crime	0
125	Uncertainty	q0	adventure	4
126	Uncertainty	q1	romance	1
127	Uncertainty	q1	mystery	2
128	Uncertainty	q1	comedy	12
129	Uncertainty	q1	action	4
130	Uncertainty	q1	horror	3
131	Uncertainty	q1	unknown	32
132	Uncertainty	q1	film noir	0
133	Uncertainty	q1	drama	27
134	Uncertainty	q1	crime drama	2
135	Uncertainty	q1	western	3
136	Uncertainty	q1	musical	0
137	Uncertainty	q1	thriller	8
138	Uncertainty	q1	crime	3
139	Uncertainty	q1	adventure	3
140	Uncertainty	q2	romance	1
141	Uncertainty	q2	mystery	6
142	Uncertainty	q2	comedy	13
143	Uncertainty	q2	action	7
144	Uncertainty	q2	horror	1
145	Uncertainty	q2	unknown	26
146	Uncertainty	q2	film noir	3
147	Uncertainty	q2	drama	18
148	Uncertainty	q2	crime drama	1
149	Uncertainty	q2	western	7
150	Uncertainty	q2	musical	1
151	Uncertainty	q2	thriller	2
152	Uncertainty	q2	crime	11
153	Uncertainty	q2	adventure	3
154	Uncertainty	q3	romance	2
155	Uncertainty	q3	mystery	2
156	Uncertainty	q3	comedy	24
157	Uncertainty	q3	action	3
158	Uncertainty	q3	horror	4
159	Uncertainty	q3	unknown	28
160	Uncertainty	q3	film noir	2
