	seed_set	q1	q2	q3	q4	q5	q6	q7
Random	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'unknown': 38, 'drama': 24, 'comedy': 11, 'crime': 4, 'horror': 4, 'adventure': 3, 'western': 3, 'musical': 3, 'mystery': 3, 'romance': 2, 'thriller': 2, 'film noir': 1, 'action': 1, 'crime drama': 1}	{'comedy': 27, 'drama': 24, 'unknown': 23, 'western': 6, 'crime': 6, 'action': 4, 'crime drama': 2, 'film noir': 2, 'mystery': 2, 'romance': 1, 'musical': 1, 'adventure': 1, 'thriller': 1}	{'unknown': 24, 'comedy': 22, 'drama': 22, 'thriller': 6, 'crime': 6, 'western': 6, 'action': 6, 'adventure': 3, 'romance': 3, 'mystery': 2}	{'drama': 27, 'unknown': 22, 'comedy': 19, 'action': 7, 'western': 5, 'crime': 5, 'thriller': 4, 'horror': 3, 'adventure': 3, 'musical': 2, 'mystery': 2, 'romance': 1}	{'unknown': 28, 'drama': 20, 'comedy': 13, 'horror': 6, 'musical': 6, 'thriller': 5, 'action': 4, 'western': 4, 'romance': 3, 'adventure': 3, 'film noir': 3, 'crime': 3, 'crime drama': 1, 'mystery': 1}	{'drama': 29, 'unknown': 25, 'comedy': 19, 'romance': 6, 'action': 4, 'crime': 4, 'mystery': 3, 'horror': 2, 'crime drama': 2, 'western': 2, 'thriller': 2, 'musical': 1, 'film noir': 1}	{'drama': 31, 'unknown': 24, 'comedy': 20, 'romance': 7, 'crime': 4, 'western': 4, 'crime drama': 2, 'mystery': 2, 'thriller': 1, 'adventure': 1, 'film noir': 1, 'action': 1, 'musical': 1, 'horror': 1}
Uncertainty	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'unknown': 32, 'drama': 27, 'comedy': 12, 'thriller': 8, 'action': 4, 'adventure': 3, 'western': 3, 'horror': 3, 'crime': 3, 'crime drama': 2, 'mystery': 2, 'romance': 1}	{'unknown': 26, 'drama': 18, 'comedy': 13, 'crime': 11, 'action': 7, 'western': 7, 'mystery': 6, 'adventure': 3, 'film noir': 3, 'thriller': 2, 'romance': 1, 'musical': 1, 'crime drama': 1, 'horror': 1}	{'unknown': 28, 'comedy': 24, 'drama': 20, 'western': 6, 'musical': 4, 'horror': 4, 'crime': 3, 'action': 3, 'adventure': 2, 'romance': 2, 'film noir': 2, 'mystery': 2}	{'comedy': 23, 'drama': 23, 'unknown': 19, 'romance': 6, 'crime': 6, 'musical': 4, 'western': 4, 'horror': 4, 'adventure': 3, 'action': 3, 'thriller': 2, 'mystery': 2, 'crime drama': 1}	{'unknown': 27, 'comedy': 24, 'drama': 21, 'romance': 7, 'action': 4, 'western': 4, 'thriller': 3, 'crime': 3, 'adventure': 2, 'crime drama': 2, 'horror': 1, 'musical': 1, 'film noir': 1}	{'drama': 32, 'unknown': 28, 'comedy': 16, 'action': 5, 'western': 4, 'thriller': 3, 'crime': 3, 'romance': 2, 'musical': 2, 'film noir': 2, 'horror': 2, 'crime drama': 1}	{'drama': 36, 'unknown': 24, 'comedy': 19, 'romance': 4, 'crime': 3, 'thriller': 3, 'mystery': 3, 'musical': 2, 'western': 2, 'adventure': 1, 'action': 1, 'crime drama': 1, 'horror': 1}
QBC	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 32, 'comedy': 19, 'unknown': 12, 'action': 10, 'crime': 10, 'thriller': 4, 'horror': 4, 'romance': 3, 'western': 2, 'mystery': 2, 'adventure': 1, 'musical': 1}	{'drama': 34, 'comedy': 30, 'western': 7, 'crime': 6, 'adventure': 5, 'film noir': 4, 'crime drama': 4, 'musical': 3, 'horror': 2, 'mystery': 2, 'romance': 1, 'unknown': 1, 'thriller': 1}	{'drama': 26, 'comedy': 17, 'unknown': 12, 'western': 8, 'romance': 7, 'thriller': 7, 'action': 7, 'crime': 5, 'mystery': 4, 'horror': 3, 'adventure': 2, 'crime drama': 2}	{'drama': 23, 'unknown': 22, 'comedy': 14, 'western': 8, 'thriller': 6, 'crime': 6, 'action': 5, 'horror': 4, 'film noir': 4, 'mystery': 3, 'romance': 2, 'musical': 2, 'adventure': 1}	{'unknown': 45, 'drama': 22, 'comedy': 14, 'romance': 4, 'western': 3, 'musical': 3, 'crime': 2, 'horror': 2, 'mystery': 2, 'thriller': 2, 'adventure': 1}	{'unknown': 39, 'drama': 24, 'comedy': 21, 'action': 3, 'romance': 2, 'musical': 2, 'adventure': 2, 'crime drama': 2, 'crime': 1, 'thriller': 1, 'western': 1, 'mystery': 1, 'horror': 1}	{'unknown': 53, 'comedy': 16, 'drama': 16, 'romance': 4, 'musical': 3, 'adventure': 2, 'crime': 2, 'action': 2, 'western': 1, 'mystery': 1}
GraphDensity	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 30, 'comedy': 22, 'unknown': 22, 'western': 5, 'romance': 3, 'adventure': 3, 'action': 3, 'crime': 3, 'horror': 2, 'film noir': 2, 'thriller': 2, 'musical': 1, 'crime drama': 1, 'mystery': 1}	{'drama': 28, 'unknown': 21, 'comedy': 18, 'western': 7, 'crime': 7, 'romance': 4, 'action': 4, 'musical': 3, 'thriller': 3, 'horror': 2, 'adventure': 1, 'crime drama': 1, 'mystery': 1}	{'drama': 31, 'unknown': 30, 'comedy': 15, 'romance': 5, 'western': 5, 'action': 3, 'thriller': 3, 'crime': 3, 'crime drama': 1, 'musical': 1, 'adventure': 1, 'horror': 1, 'mystery': 1}	{'unknown': 30, 'drama': 23, 'comedy': 16, 'crime': 4, 'musical': 4, 'action': 4, 'thriller': 4, 'mystery': 4, 'adventure': 3, 'western': 3, 'crime drama': 2, 'romance': 1, 'film noir': 1, 'horror': 1}	{'unknown': 24, 'drama': 24, 'comedy': 23, 'crime': 5, 'action': 4, 'romance': 3, 'horror': 3, 'mystery': 3, 'film noir': 2, 'adventure': 2, 'thriller': 2, 'crime drama': 2, 'western': 2, 'musical': 1}	{'unknown': 28, 'comedy': 21, 'drama': 21, 'crime': 6, 'horror': 4, 'action': 4, 'romance': 3, 'musical': 3, 'thriller': 3, 'western': 3, 'mystery': 2, 'film noir': 1, 'adventure': 1}	{'unknown': 29, 'drama': 20, 'comedy': 16, 'action': 5, 'western': 5, 'romance': 4, 'thriller': 4, 'crime': 4, 'horror': 3, 'adventure': 3, 'mystery': 3, 'film noir': 2, 'musical': 1, 'crime drama': 1}
EER	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 26, 'comedy': 21, 'unknown': 21, 'crime': 5, 'action': 4, 'western': 4, 'mystery': 4, 'film noir': 3, 'musical': 3, 'adventure': 3, 'thriller': 2, 'crime drama': 2, 'romance': 1, 'horror': 1}	{'unknown': 27, 'drama': 27, 'comedy': 11, 'action': 9, 'crime': 7, 'romance': 3, 'thriller': 3, 'western': 3, 'mystery': 3, 'musical': 2, 'adventure': 2, 'horror': 2, 'film noir': 1}	{'unknown': 33, 'comedy': 20, 'drama': 18, 'action': 7, 'romance': 5, 'thriller': 4, 'western': 3, 'mystery': 3, 'crime': 2, 'crime drama': 2, 'horror': 2, 'adventure': 1}	{'drama': 32, 'unknown': 20, 'comedy': 17, 'crime': 11, 'western': 5, 'horror': 4, 'romance': 3, 'thriller': 3, 'musical': 2, 'crime drama': 1, 'film noir': 1, 'mystery': 1}	{'drama': 27, 'unknown': 23, 'comedy': 20, 'western': 8, 'crime': 5, 'thriller': 4, 'romance': 3, 'film noir': 3, 'action': 2, 'musical': 2, 'adventure': 1, 'crime drama': 1, 'mystery': 1}	{'unknown': 27, 'comedy': 23, 'drama': 23, 'adventure': 5, 'western': 4, 'romance': 3, 'action': 3, 'horror': 3, 'crime': 2, 'musical': 2, 'thriller': 2, 'mystery': 2, 'crime drama': 1}	{'unknown': 33, 'drama': 24, 'comedy': 19, 'romance': 5, 'horror': 4, 'thriller': 3, 'western': 3, 'musical': 3, 'adventure': 2, 'action': 2, 'crime drama': 1, 'mystery': 1}
LAL_iter	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 38, 'comedy': 30, 'western': 8, 'mystery': 7, 'action': 4, 'musical': 3, 'unknown': 3, 'thriller': 3, 'crime': 2, 'adventure': 1, 'crime drama': 1}	{'comedy': 35, 'drama': 30, 'western': 13, 'crime': 4, 'mystery': 4, 'adventure': 3, 'musical': 3, 'unknown': 3, 'crime drama': 2, 'romance': 1, 'film noir': 1, 'action': 1}	{'drama': 36, 'comedy': 20, 'unknown': 8, 'film noir': 7, 'crime': 5, 'musical': 5, 'crime drama': 4, 'adventure': 3, 'western': 3, 'horror': 3, 'romance': 2, 'action': 2, 'thriller': 1, 'mystery': 1}	{'drama': 31, 'crime': 19, 'comedy': 17, 'unknown': 8, 'adventure': 5, 'horror': 5, 'thriller': 4, 'romance': 3, 'musical': 3, 'mystery': 3, 'western': 1, 'crime drama': 1}	{'unknown': 27, 'comedy': 18, 'drama': 16, 'action': 14, 'thriller': 6, 'romance': 5, 'horror': 5, 'western': 5, 'adventure': 2, 'crime': 2}	{'unknown': 40, 'drama': 26, 'comedy': 11, 'romance': 7, 'thriller': 7, 'action': 6, 'horror': 3}	{'unknown': 95, 'romance': 5}
LAL_indep	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 25, 'unknown': 24, 'comedy': 17, 'thriller': 6, 'western': 5, 'romance': 4, 'action': 4, 'musical': 3, 'crime drama': 3, 'crime': 2, 'adventure': 2, 'mystery': 2, 'horror': 2, 'film noir': 1}	{'drama': 24, 'comedy': 23, 'unknown': 17, 'action': 9, 'crime': 7, 'western': 5, 'thriller': 4, 'mystery': 4, 'adventure': 2, 'musical': 2, 'horror': 2, 'romance': 1}	{'drama': 28, 'unknown': 18, 'comedy': 17, 'crime': 9, 'adventure': 4, 'romance': 4, 'action': 4, 'western': 4, 'horror': 4, 'thriller': 3, 'mystery': 3, 'musical': 2}	{'drama': 27, 'comedy': 25, 'unknown': 16, 'western': 11, 'adventure': 5, 'mystery': 4, 'crime': 3, 'film noir': 3, 'thriller': 2, 'musical': 2, 'action': 2}	{'drama': 40, 'comedy': 25, 'unknown': 8, 'romance': 5, 'musical': 5, 'horror': 3, 'crime drama': 3, 'thriller': 2, 'western': 2, 'mystery': 2, 'crime': 2, 'adventure': 1, 'film noir': 1, 'action': 1}	{'drama': 33, 'comedy': 24, 'unknown': 16, 'crime': 9, 'romance': 4, 'film noir': 3, 'western': 3, 'horror': 3, 'crime drama': 2, 'action': 2, 'thriller': 1}	{'unknown': 85, 'romance': 5, 'action': 5, 'thriller': 3, 'horror': 2}
