	seed_set	q1	q2	q3	q4	q5	q6	q7
Random	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'unknown': 36, 'drama': 25, 'comedy': 11, 'romance': 4, 'horror': 4, 'mystery': 3, 'crime': 3, 'western': 3, 'musical': 3, 'adventure': 3, 'thriller': 2, 'action': 1, 'crime drama': 1, 'film noir': 1}	{'drama': 30, 'unknown': 24, 'comedy': 22, 'western': 7, 'action': 5, 'crime': 5, 'thriller': 2, 'mystery': 2, 'musical': 1, 'film noir': 1, 'adventure': 1}	{'drama': 24, 'unknown': 21, 'comedy': 19, 'musical': 5, 'romance': 5, 'action': 5, 'western': 5, 'thriller': 5, 'horror': 4, 'crime': 4, 'adventure': 2, 'crime drama': 1}	{'unknown': 24, 'drama': 21, 'comedy': 20, 'western': 6, 'action': 6, 'crime': 6, 'romance': 3, 'horror': 3, 'film noir': 3, 'adventure': 3, 'thriller': 3, 'crime drama': 1, 'mystery': 1}	{'unknown': 32, 'drama': 23, 'comedy': 20, 'romance': 6, 'mystery': 3, 'film noir': 3, 'horror': 3, 'western': 3, 'adventure': 3, 'action': 2, 'musical': 1, 'crime': 1}	{'unknown': 29, 'drama': 25, 'comedy': 14, 'action': 7, 'crime': 6, 'musical': 4, 'crime drama': 3, 'western': 3, 'thriller': 3, 'mystery': 2, 'romance': 2, 'horror': 1, 'adventure': 1}	{'drama': 29, 'comedy': 25, 'unknown': 18, 'crime': 7, 'thriller': 6, 'mystery': 4, 'romance': 3, 'western': 3, 'crime drama': 2, 'action': 1, 'horror': 1, 'adventure': 1}
Uncertainty	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 30, 'unknown': 24, 'comedy': 14, 'action': 7, 'thriller': 5, 'western': 4, 'horror': 4, 'romance': 3, 'crime': 3, 'adventure': 3, 'musical': 2, 'film noir': 1}	{'unknown': 21, 'drama': 19, 'comedy': 16, 'action': 9, 'western': 6, 'thriller': 6, 'mystery': 5, 'crime': 4, 'crime drama': 4, 'romance': 3, 'horror': 3, 'adventure': 2, 'musical': 1, 'film noir': 1}	{'drama': 30, 'unknown': 25, 'crime': 12, 'comedy': 9, 'western': 7, 'mystery': 5, 'thriller': 3, 'horror': 2, 'musical': 2, 'adventure': 2, 'romance': 1, 'crime drama': 1, 'action': 1}	{'unknown': 32, 'comedy': 21, 'drama': 15, 'western': 6, 'crime': 6, 'action': 3, 'mystery': 3, 'film noir': 3, 'romance': 2, 'horror': 2, 'crime drama': 2, 'thriller': 2, 'adventure': 2, 'musical': 1}	{'unknown': 27, 'drama': 25, 'comedy': 24, 'action': 5, 'musical': 4, 'western': 3, 'romance': 3, 'crime': 2, 'film noir': 2, 'adventure': 2, 'horror': 1, 'crime drama': 1, 'thriller': 1}	{'drama': 31, 'unknown': 22, 'comedy': 22, 'romance': 7, 'western': 4, 'crime': 3, 'adventure': 3, 'horror': 2, 'musical': 2, 'action': 1, 'film noir': 1, 'mystery': 1, 'thriller': 1}	{'unknown': 33, 'drama': 27, 'comedy': 25, 'romance': 4, 'thriller': 3, 'musical': 2, 'crime': 2, 'horror': 2, 'mystery': 1, 'action': 1}
QBC	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 24, 'comedy': 21, 'unknown': 12, 'thriller': 8, 'crime': 7, 'action': 7, 'mystery': 5, 'western': 4, 'adventure': 4, 'horror': 3, 'musical': 3, 'romance': 1, 'film noir': 1}	{'drama': 31, 'comedy': 17, 'crime': 10, 'unknown': 9, 'western': 5, 'romance': 5, 'crime drama': 5, 'musical': 5, 'horror': 4, 'thriller': 3, 'mystery': 2, 'film noir': 2, 'action': 1, 'adventure': 1}	{'drama': 31, 'unknown': 20, 'comedy': 20, 'action': 7, 'western': 4, 'romance': 4, 'crime': 4, 'mystery': 4, 'thriller': 3, 'crime drama': 2, 'horror': 1}	{'comedy': 29, 'drama': 27, 'unknown': 15, 'western': 7, 'romance': 4, 'crime': 4, 'thriller': 4, 'action': 3, 'mystery': 3, 'horror': 2, 'film noir': 1, 'adventure': 1}	{'unknown': 50, 'drama': 16, 'comedy': 11, 'action': 5, 'western': 4, 'horror': 4, 'romance': 3, 'film noir': 2, 'adventure': 2, 'musical': 1, 'thriller': 1, 'mystery': 1}	{'unknown': 37, 'drama': 25, 'comedy': 18, 'adventure': 5, 'musical': 3, 'crime': 3, 'western': 2, 'romance': 2, 'film noir': 2, 'crime drama': 1, 'horror': 1, 'thriller': 1}	{'unknown': 41, 'drama': 23, 'comedy': 15, 'western': 4, 'romance': 4, 'action': 4, 'crime': 4, 'musical': 2, 'thriller': 1, 'horror': 1, 'adventure': 1}
GraphDensity	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'unknown': 30, 'comedy': 25, 'drama': 13, 'musical': 5, 'action': 5, 'crime': 5, 'adventure': 4, 'romance': 3, 'mystery': 2, 'horror': 2, 'western': 2, 'thriller': 2, 'crime drama': 1, 'film noir': 1}	{'unknown': 28, 'drama': 26, 'comedy': 17, 'romance': 6, 'crime': 6, 'western': 3, 'film noir': 3, 'action': 3, 'mystery': 2, 'musical': 2, 'thriller': 2, 'horror': 1, 'adventure': 1}	{'drama': 24, 'unknown': 23, 'comedy': 19, 'western': 6, 'crime': 5, 'horror': 5, 'thriller': 5, 'romance': 4, 'action': 4, 'film noir': 2, 'mystery': 1, 'crime drama': 1, 'adventure': 1}	{'unknown': 33, 'drama': 26, 'comedy': 17, 'crime': 5, 'western': 4, 'adventure': 3, 'thriller': 3, 'mystery': 2, 'action': 2, 'horror': 2, 'crime drama': 2, 'romance': 1}	{'drama': 36, 'comedy': 21, 'unknown': 19, 'crime': 4, 'romance': 3, 'musical': 3, 'mystery': 2, 'action': 2, 'crime drama': 2, 'western': 2, 'thriller': 2, 'adventure': 2, 'horror': 1, 'film noir': 1}	{'unknown': 29, 'drama': 20, 'comedy': 14, 'western': 7, 'action': 6, 'mystery': 4, 'thriller': 4, 'crime': 3, 'horror': 3, 'musical': 3, 'romance': 2, 'crime drama': 2, 'adventure': 2, 'film noir': 1}	{'drama': 32, 'unknown': 22, 'comedy': 18, 'western': 6, 'action': 5, 'romance': 4, 'crime': 4, 'thriller': 3, 'horror': 2, 'mystery': 2, 'musical': 1, 'adventure': 1}
EER	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'unknown': 28, 'drama': 24, 'comedy': 21, 'crime': 6, 'western': 6, 'mystery': 3, 'musical': 3, 'thriller': 3, 'romance': 2, 'crime drama': 1, 'horror': 1, 'action': 1, 'adventure': 1}	{'unknown': 32, 'drama': 18, 'comedy': 11, 'crime': 8, 'action': 8, 'horror': 6, 'western': 4, 'thriller': 4, 'adventure': 4, 'romance': 2, 'mystery': 1, 'musical': 1, 'film noir': 1}	{'drama': 27, 'unknown': 27, 'comedy': 13, 'crime': 7, 'action': 4, 'western': 4, 'mystery': 3, 'crime drama': 3, 'horror': 3, 'thriller': 3, 'film noir': 3, 'romance': 2, 'adventure': 1}	{'drama': 32, 'comedy': 21, 'unknown': 20, 'mystery': 5, 'romance': 5, 'adventure': 4, 'action': 3, 'western': 3, 'thriller': 2, 'crime': 2, 'crime drama': 2, 'horror': 1}	{'drama': 30, 'unknown': 24, 'comedy': 21, 'romance': 5, 'western': 4, 'crime': 3, 'musical': 3, 'action': 2, 'horror': 2, 'crime drama': 2, 'film noir': 2, 'adventure': 1, 'thriller': 1}	{'unknown': 23, 'comedy': 23, 'drama': 21, 'western': 6, 'action': 6, 'thriller': 5, 'romance': 4, 'musical': 4, 'mystery': 2, 'crime': 2, 'horror': 2, 'film noir': 1, 'adventure': 1}	{'unknown': 30, 'drama': 25, 'comedy': 21, 'crime': 4, 'romance': 3, 'action': 3, 'western': 3, 'musical': 3, 'thriller': 3, 'adventure': 2, 'mystery': 1, 'horror': 1, 'film noir': 1}
LAL_iter	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 38, 'comedy': 34, 'western': 8, 'mystery': 7, 'musical': 3, 'thriller': 3, 'action': 2, 'unknown': 1, 'crime': 1, 'crime drama': 1, 'horror': 1, 'adventure': 1}	{'comedy': 32, 'drama': 29, 'western': 14, 'mystery': 5, 'crime': 5, 'adventure': 4, 'unknown': 3, 'musical': 3, 'crime drama': 2, 'action': 1, 'film noir': 1, 'thriller': 1}	{'drama': 38, 'comedy': 20, 'crime': 7, 'musical': 6, 'film noir': 6, 'romance': 4, 'crime drama': 4, 'horror': 3, 'adventure': 3, 'unknown': 3, 'western': 2, 'thriller': 2, 'mystery': 1, 'action': 1}	{'drama': 27, 'crime': 19, 'comedy': 17, 'unknown': 11, 'horror': 6, 'adventure': 4, 'thriller': 4, 'action': 3, 'mystery': 2, 'romance': 2, 'musical': 2, 'crime drama': 1, 'western': 1, 'film noir': 1}	{'unknown': 30, 'comedy': 19, 'drama': 18, 'action': 12, 'thriller': 6, 'western': 5, 'romance': 5, 'horror': 3, 'adventure': 2}	{'unknown': 44, 'drama': 25, 'action': 8, 'comedy': 8, 'romance': 7, 'thriller': 5, 'horror': 3}	{'unknown': 92, 'romance': 5, 'drama': 2, 'comedy': 1}
LAL_indep	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 28, 'comedy': 16, 'unknown': 14, 'action': 12, 'crime': 7, 'thriller': 7, 'adventure': 5, 'western': 3, 'mystery': 2, 'horror': 2, 'musical': 2, 'romance': 1, 'film noir': 1}	{'unknown': 25, 'drama': 19, 'action': 10, 'western': 8, 'comedy': 8, 'crime': 7, 'romance': 5, 'thriller': 4, 'horror': 3, 'film noir': 3, 'adventure': 3, 'mystery': 2, 'musical': 2, 'crime drama': 1}	{'unknown': 39, 'drama': 18, 'comedy': 10, 'crime': 5, 'thriller': 5, 'action': 5, 'horror': 4, 'western': 3, 'crime drama': 3, 'romance': 2, 'mystery': 2, 'adventure': 2, 'musical': 1, 'film noir': 1}	{'drama': 29, 'comedy': 25, 'unknown': 19, 'western': 10, 'musical': 5, 'crime': 5, 'mystery': 4, 'film noir': 2, 'horror': 1}	{'comedy': 34, 'drama': 32, 'unknown': 13, 'mystery': 5, 'western': 4, 'musical': 3, 'thriller': 2, 'romance': 2, 'horror': 2, 'crime': 1, 'crime drama': 1, 'adventure': 1}	{'drama': 40, 'comedy': 34, 'unknown': 11, 'romance': 7, 'western': 2, 'crime': 2, 'adventure': 2, 'musical': 1, 'horror': 1}	{'unknown': 63, 'drama': 11, 'romance': 6, 'crime': 5, 'comedy': 4, 'thriller': 3, 'crime drama': 3, 'horror': 3, 'film noir': 1, 'adventure': 1}
