	Strategy	Query	Class	Value
185	Uncertainty	q5	mystery	0
186	Uncertainty	q5	film noir	2
187	Uncertainty	q5	adventure	2
188	Uncertainty	q5	horror	1
189	Uncertainty	q5	thriller	1
190	Uncertainty	q5	unknown	27
191	Uncertainty	q5	crime drama	1
192	Uncertainty	q5	romance	3
193	Uncertainty	q5	drama	25
194	Uncertainty	q5	western	3
195	Uncertainty	q5	comedy	24
196	Uncertainty	q6	musical	2
197	Uncertainty	q6	crime	3
198	Uncertainty	q6	action	1
199	Uncertainty	q6	mystery	1
200	Uncertainty	q6	film noir	1
201	Uncertainty	q6	adventure	3
202	Uncertainty	q6	horror	2
203	Uncertainty	q6	thriller	1
204	Uncertainty	q6	unknown	22
205	Uncertainty	q6	crime drama	0
206	Uncertainty	q6	romance	7
207	Uncertainty	q6	drama	31
208	Uncertainty	q6	western	4
209	Uncertainty	q6	comedy	22
210	Uncertainty	q7	musical	2
211	Uncertainty	q7	crime	2
212	Uncertainty	q7	action	1
213	Uncertainty	q7	mystery	1
214	Uncertainty	q7	film noir	0
215	Uncertainty	q7	adventure	0
216	Uncertainty	q7	horror	2
217	Uncertainty	q7	thriller	3
218	Uncertainty	q7	unknown	33
219	Uncertainty	q7	crime drama	0
220	Uncertainty	q7	romance	4
221	Uncertainty	q7	drama	27
222	Uncertainty	q7	western	0
223	Uncertainty	q7	comedy	25
224	QBC	q0	musical	3
225	QBC	q0	crime	0
226	QBC	q0	action	1
227	QBC	q0	mystery	0
228	QBC	q0	film noir	2
229	QBC	q0	adventure	4
230	QBC	q0	horror	2
231	QBC	q0	thriller	7
232	QBC	q0	unknown	28
233	QBC	q0	crime drama	0
234	QBC	q0	romance	1
235	QBC	q0	drama	26
236	QBC	q0	western	5
237	QBC	q0	comedy	21
238	QBC	q1	musical	3
239	QBC	q1	crime	7
240	QBC	q1	action	7
241	QBC	q1	mystery	5
242	QBC	q1	film noir	1
243	QBC	q1	adventure	4
244	QBC	q1	horror	3
245	QBC	q1	thriller	8
246	QBC	q1	unknown	12
247	QBC	q1	crime drama	0
248	QBC	q1	romance	1
249	QBC	q1	drama	24
250	QBC	q1	western	4
251	QBC	q1	comedy	21
252	QBC	q2	musical	5
253	QBC	q2	crime	10
254	QBC	q2	action	1
255	QBC	q2	mystery	2
256	QBC	q2	film noir	2
257	QBC	q2	adventure	1
258	QBC	q2	horror	4
259	QBC	q2	thriller	3
260	QBC	q2	unknown	9
261	QBC	q2	crime drama	5
262	QBC	q2	romance	5
263	QBC	q2	drama	31
264	QBC	q2	western	5
265	QBC	q2	comedy	17
266	QBC	q3	musical	0
267	QBC	q3	crime	4
268	QBC	q3	action	7
269	QBC	q3	mystery	4
270	QBC	q3	film noir	0
271	QBC	q3	adventure	0
272	QBC	q3	horror	1
273	QBC	q3	thriller	3
274	QBC	q3	unknown	20
275	QBC	q3	crime drama	2
276	QBC	q3	romance	4
277	QBC	q3	drama	31
278	QBC	q3	western	4
279	QBC	q3	comedy	20
280	QBC	q4	musical	0
281	QBC	q4	crime	4
282	QBC	q4	action	3
283	QBC	q4	mystery	3
284	QBC	q4	film noir	1
285	QBC	q4	adventure	1
286	QBC	q4	horror	2
287	QBC	q4	thriller	4
288	QBC	q4	unknown	15
289	QBC	q4	crime drama	0
290	QBC	q4	romance	4
291	QBC	q4	drama	27
292	QBC	q4	western	7
293	QBC	q4	comedy	29
294	QBC	q5	musical	1
295	QBC	q5	crime	0
296	QBC	q5	action	5
297	QBC	q5	mystery	1
298	QBC	q5	film noir	2
299	QBC	q5	adventure	2
300	QBC	q5	horror	4
301	QBC	q5	thriller	1
302	QBC	q5	unknown	50
303	QBC	q5	crime drama	0
304	QBC	q5	romance	3
305	QBC	q5	drama	16
306	QBC	q5	western	4
307	QBC	q5	comedy	11
308	QBC	q6	musical	3
309	QBC	q6	crime	3
310	QBC	q6	action	0
311	QBC	q6	mystery	0
312	QBC	q6	film noir	2
313	QBC	q6	adventure	5
314	QBC	q6	horror	1
315	QBC	q6	thriller	1
316	QBC	q6	unknown	37
317	QBC	q6	crime drama	1
318	QBC	q6	romance	2
319	QBC	q6	drama	25
320	QBC	q6	western	2
321	QBC	q6	comedy	18
322	QBC	q7	musical	2
323	QBC	q7	crime	4
324	QBC	q7	action	4
325	QBC	q7	mystery	0
326	QBC	q7	film noir	0
327	QBC	q7	adventure	1
328	QBC	q7	horror	1
329	QBC	q7	thriller	1
330	QBC	q7	unknown	41
331	QBC	q7	crime drama	0
332	QBC	q7	romance	4
333	QBC	q7	drama	23
334	QBC	q7	western	4
335	QBC	q7	comedy	15
336	GraphDensity	q0	musical	3
337	GraphDensity	q0	crime	0
338	GraphDensity	q0	action	1
339	GraphDensity	q0	mystery	0
340	GraphDensity	q0	film noir	2
