	Strategy	Query	Class	Value
0	Random	q0	comedy	21
1	Random	q0	thriller	7
2	Random	q0	western	5
3	Random	q0	action	1
4	Random	q0	film noir	2
5	Random	q0	musical	3
6	Random	q0	unknown	28
7	Random	q0	mystery	0
8	Random	q0	horror	2
9	Random	q0	crime drama	0
10	Random	q0	romance	1
11	Random	q0	drama	26
12	Random	q0	crime	0
13	Random	q0	adventure	4
14	Random	q1	comedy	24
15	Random	q1	thriller	2
16	Random	q1	western	4
17	Random	q1	action	2
18	Random	q1	film noir	1
19	Random	q1	musical	1
20	Random	q1	unknown	30
21	Random	q1	mystery	2
22	Random	q1	horror	2
23	Random	q1	crime drama	1
24	Random	q1	romance	1
25	Random	q1	drama	27
26	Random	q1	crime	3
27	Random	q1	adventure	0
28	Random	q2	comedy	20
29	Random	q2	thriller	5
30	Random	q2	western	6
31	Random	q2	action	6
32	Random	q2	film noir	2
33	Random	q2	musical	0
34	Random	q2	unknown	26
35	Random	q2	mystery	1
36	Random	q2	horror	3
37	Random	q2	crime drama	3
38	Random	q2	romance	3
39	Random	q2	drama	22
40	Random	q2	crime	3
41	Random	q2	adventure	0
42	Random	q3	comedy	18
43	Random	q3	thriller	2
44	Random	q3	western	2
45	Random	q3	action	2
46	Random	q3	film noir	2
47	Random	q3	musical	4
48	Random	q3	unknown	27
49	Random	q3	mystery	2
50	Random	q3	horror	2
51	Random	q3	crime drama	1
52	Random	q3	romance	3
53	Random	q3	drama	23
54	Random	q3	crime	9
55	Random	q3	adventure	3
56	Random	q4	comedy	20
57	Random	q4	thriller	2
58	Random	q4	western	3
59	Random	q4	action	6
60	Random	q4	film noir	0
61	Random	q4	musical	3
62	Random	q4	unknown	21
63	Random	q4	mystery	4
64	Random	q4	horror	2
65	Random	q4	crime drama	0
66	Random	q4	romance	3
67	Random	q4	drama	27
68	Random	q4	crime	5
69	Random	q4	adventure	4
70	Random	q5	comedy	12
71	Random	q5	thriller	3
72	Random	q5	western	5
73	Random	q5	action	3
74	Random	q5	film noir	1
75	Random	q5	musical	2
76	Random	q5	unknown	38
77	Random	q5	mystery	3
78	Random	q5	horror	1
79	Random	q5	crime drama	1
80	Random	q5	romance	3
81	Random	q5	drama	25
82	Random	q5	crime	3
83	Random	q5	adventure	0
84	Random	q6	comedy	15
85	Random	q6	thriller	2
86	Random	q6	western	7
87	Random	q6	action	5
88	Random	q6	film noir	2
89	Random	q6	musical	1
90	Random	q6	unknown	19
91	Random	q6	mystery	2
92	Random	q6	horror	2
93	Random	q6	crime drama	1
94	Random	q6	romance	2
95	Random	q6	drama	30
96	Random	q6	crime	7
97	Random	q6	adventure	5
98	Random	q7	comedy	22
99	Random	q7	thriller	5
100	Random	q7	western	3
101	Random	q7	action	3
102	Random	q7	film noir	0
103	Random	q7	musical	3
104	Random	q7	unknown	23
105	Random	q7	mystery	1
106	Random	q7	horror	4
107	Random	q7	crime drama	1
108	Random	q7	romance	8
109	Random	q7	drama	23
110	Random	q7	crime	2
111	Random	q7	adventure	2
112	Uncertainty	q0	comedy	21
113	Uncertainty	q0	thriller	7
114	Uncertainty	q0	western	5
115	Uncertainty	q0	action	1
116	Uncertainty	q0	film noir	2
117	Uncertainty	q0	musical	3
118	Uncertainty	q0	unknown	28
119	Uncertainty	q0	mystery	0
120	Uncertainty	q0	horror	2
121	Uncertainty	q0	crime drama	0
122	Uncertainty	q0	romance	1
123	Uncertainty	q0	drama	26
124	Uncertainty	q0	crime	0
125	Uncertainty	q0	adventure	4
126	Uncertainty	q1	comedy	23
127	Uncertainty	q1	thriller	4
128	Uncertainty	q1	western	8
129	Uncertainty	q1	action	6
130	Uncertainty	q1	film noir	1
131	Uncertainty	q1	musical	2
132	Uncertainty	q1	unknown	17
133	Uncertainty	q1	mystery	2
134	Uncertainty	q1	horror	3
135	Uncertainty	q1	crime drama	2
136	Uncertainty	q1	romance	2
137	Uncertainty	q1	drama	22
138	Uncertainty	q1	crime	4
139	Uncertainty	q1	adventure	4
140	Uncertainty	q2	comedy	14
141	Uncertainty	q2	thriller	4
142	Uncertainty	q2	western	6
143	Uncertainty	q2	action	8
144	Uncertainty	q2	film noir	1
145	Uncertainty	q2	musical	0
146	Uncertainty	q2	unknown	22
147	Uncertainty	q2	mystery	1
148	Uncertainty	q2	horror	2
149	Uncertainty	q2	crime drama	3
150	Uncertainty	q2	romance	6
151	Uncertainty	q2	drama	21
152	Uncertainty	q2	crime	9
153	Uncertainty	q2	adventure	3
154	Uncertainty	q3	comedy	16
155	Uncertainty	q3	thriller	3
156	Uncertainty	q3	western	2
157	Uncertainty	q3	action	3
158	Uncertainty	q3	film noir	2
159	Uncertainty	q3	musical	0
160	Uncertainty	q3	unknown	36
161	Uncertainty	q3	mystery	3
162	Uncertainty	q3	horror	1
163	Uncertainty	q3	crime drama	2
164	Uncertainty	q3	romance	3
165	Uncertainty	q3	drama	21
166	Uncertainty	q3	crime	7
167	Uncertainty	q3	adventure	1
168	Uncertainty	q4	comedy	21
169	Uncertainty	q4	thriller	2
170	Uncertainty	q4	western	1
171	Uncertainty	q4	action	2
172	Uncertainty	q4	film noir	1
173	Uncertainty	q4	musical	5
174	Uncertainty	q4	unknown	18
175	Uncertainty	q4	mystery	3
176	Uncertainty	q4	horror	1
177	Uncertainty	q4	crime drama	1
178	Uncertainty	q4	romance	4
179	Uncertainty	q4	drama	36
180	Uncertainty	q4	crime	3
181	Uncertainty	q4	adventure	2
182	Uncertainty	q5	comedy	20
183	Uncertainty	q5	thriller	3
184	Uncertainty	q5	western	8
185	Uncertainty	q5	action	0
186	Uncertainty	q5	film noir	3
187	Uncertainty	q5	musical	5
188	Uncertainty	q5	unknown	18
189	Uncertainty	q5	mystery	5
190	Uncertainty	q5	horror	4
191	Uncertainty	q5	crime drama	0
192	Uncertainty	q5	romance	2
193	Uncertainty	q5	drama	28
194	Uncertainty	q5	crime	4
195	Uncertainty	q5	adventure	0
196	Uncertainty	q6	comedy	21
197	Uncertainty	q6	thriller	3
198	Uncertainty	q6	western	1
199	Uncertainty	q6	action	3
200	Uncertainty	q6	film noir	0
201	Uncertainty	q6	musical	1
202	Uncertainty	q6	unknown	29
203	Uncertainty	q6	mystery	1
204	Uncertainty	q6	horror	2
205	Uncertainty	q6	crime drama	0
206	Uncertainty	q6	romance	3
207	Uncertainty	q6	drama	30
208	Uncertainty	q6	crime	3
209	Uncertainty	q6	adventure	3
210	Uncertainty	q7	comedy	16
211	Uncertainty	q7	thriller	2
212	Uncertainty	q7	western	4
213	Uncertainty	q7	action	5
214	Uncertainty	q7	film noir	0
215	Uncertainty	q7	musical	1
216	Uncertainty	q7	unknown	44
217	Uncertainty	q7	mystery	0
218	Uncertainty	q7	horror	3
219	Uncertainty	q7	crime drama	0
220	Uncertainty	q7	romance	3
221	Uncertainty	q7	drama	19
222	Uncertainty	q7	crime	2
223	Uncertainty	q7	adventure	1
224	QBC	q0	comedy	21
225	QBC	q0	thriller	7
226	QBC	q0	western	5
227	QBC	q0	action	1
228	QBC	q0	film noir	2
229	QBC	q0	musical	3
230	QBC	q0	unknown	28
231	QBC	q0	mystery	0
232	QBC	q0	horror	2
233	QBC	q0	crime drama	0
234	QBC	q0	romance	1
235	QBC	q0	drama	26
236	QBC	q0	crime	0
237	QBC	q0	adventure	4
