	seed_set	q1	q2	q3	q4	q5	q6	q7
Random	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'unknown': 26, 'drama': 26, 'comedy': 19, 'crime': 6, 'adventure': 5, 'western': 4, 'action': 3, 'thriller': 2, 'musical': 2, 'romance': 2, 'mystery': 2, 'film noir': 2, 'horror': 1}	{'drama': 32, 'unknown': 27, 'comedy': 15, 'crime': 6, 'romance': 5, 'horror': 3, 'western': 3, 'adventure': 3, 'mystery': 2, 'thriller': 1, 'musical': 1, 'action': 1, 'film noir': 1}	{'drama': 30, 'unknown': 23, 'comedy': 17, 'thriller': 9, 'crime': 4, 'western': 4, 'action': 4, 'horror': 2, 'musical': 2, 'film noir': 2, 'romance': 1, 'mystery': 1, 'adventure': 1}	{'unknown': 24, 'drama': 22, 'comedy': 21, 'western': 10, 'crime': 4, 'action': 4, 'thriller': 3, 'romance': 3, 'mystery': 3, 'crime drama': 2, 'film noir': 2, 'horror': 1, 'musical': 1}	{'unknown': 29, 'drama': 24, 'comedy': 13, 'action': 6, 'horror': 4, 'mystery': 4, 'crime': 3, 'thriller': 3, 'musical': 3, 'romance': 3, 'crime drama': 3, 'western': 2, 'adventure': 2, 'film noir': 1}	{'unknown': 27, 'comedy': 23, 'drama': 23, 'romance': 6, 'crime': 5, 'horror': 4, 'action': 4, 'thriller': 2, 'mystery': 2, 'musical': 2, 'crime drama': 1, 'adventure': 1}	{'unknown': 28, 'comedy': 23, 'drama': 20, 'western': 7, 'action': 5, 'crime': 4, 'musical': 3, 'romance': 3, 'adventure': 2, 'crime drama': 2, 'horror': 1, 'thriller': 1, 'mystery': 1}
Uncertainty	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'comedy': 28, 'unknown': 27, 'drama': 19, 'crime': 4, 'thriller': 4, 'western': 4, 'musical': 3, 'action': 3, 'mystery': 2, 'film noir': 2, 'adventure': 2, 'romance': 2}	{'unknown': 27, 'drama': 18, 'comedy': 16, 'crime': 7, 'western': 7, 'action': 7, 'adventure': 4, 'musical': 3, 'crime drama': 3, 'thriller': 2, 'romance': 2, 'film noir': 2, 'horror': 1, 'mystery': 1}	{'drama': 27, 'unknown': 23, 'comedy': 18, 'crime': 7, 'western': 7, 'romance': 3, 'mystery': 3, 'action': 3, 'adventure': 3, 'musical': 2, 'horror': 1, 'thriller': 1, 'crime drama': 1, 'film noir': 1}	{'drama': 32, 'unknown': 22, 'comedy': 14, 'crime': 7, 'thriller': 5, 'western': 4, 'film noir': 3, 'action': 3, 'horror': 2, 'musical': 2, 'mystery': 2, 'crime drama': 2, 'romance': 1, 'adventure': 1}	{'unknown': 28, 'drama': 25, 'comedy': 22, 'action': 5, 'western': 4, 'horror': 3, 'romance': 3, 'mystery': 3, 'crime': 2, 'thriller': 2, 'musical': 2, 'crime drama': 1}	{'drama': 32, 'unknown': 19, 'comedy': 17, 'romance': 9, 'horror': 6, 'thriller': 4, 'crime': 3, 'western': 3, 'action': 3, 'musical': 1, 'mystery': 1, 'adventure': 1, 'crime drama': 1}	{'unknown': 38, 'drama': 24, 'comedy': 16, 'horror': 3, 'mystery': 3, 'romance': 3, 'adventure': 3, 'action': 3, 'thriller': 3, 'crime': 2, 'musical': 1, 'western': 1}
QBC	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 31, 'unknown': 26, 'comedy': 17, 'crime': 5, 'mystery': 5, 'action': 5, 'western': 4, 'thriller': 3, 'horror': 1, 'musical': 1, 'film noir': 1, 'adventure': 1}	{'drama': 25, 'comedy': 24, 'unknown': 22, 'thriller': 6, 'crime': 4, 'western': 4, 'adventure': 3, 'crime drama': 3, 'horror': 2, 'romance': 2, 'mystery': 2, 'musical': 1, 'action': 1, 'film noir': 1}	{'unknown': 30, 'drama': 30, 'comedy': 15, 'action': 6, 'crime': 5, 'thriller': 3, 'romance': 3, 'western': 3, 'musical': 2, 'horror': 1, 'film noir': 1, 'crime drama': 1}	{'drama': 27, 'comedy': 22, 'unknown': 18, 'western': 9, 'crime': 5, 'musical': 3, 'mystery': 3, 'adventure': 3, 'horror': 2, 'thriller': 2, 'romance': 2, 'action': 2, 'crime drama': 1, 'film noir': 1}	{'drama': 28, 'comedy': 27, 'unknown': 16, 'western': 4, 'adventure': 4, 'horror': 3, 'crime': 3, 'musical': 3, 'romance': 3, 'thriller': 2, 'mystery': 2, 'action': 2, 'film noir': 2, 'crime drama': 1}	{'drama': 31, 'comedy': 25, 'unknown': 7, 'crime': 6, 'western': 6, 'romance': 5, 'musical': 4, 'horror': 3, 'adventure': 3, 'thriller': 2, 'mystery': 2, 'crime drama': 2, 'film noir': 2, 'action': 2}	{'unknown': 65, 'action': 9, 'romance': 8, 'drama': 5, 'horror': 4, 'crime': 4, 'thriller': 3, 'mystery': 1, 'comedy': 1}
GraphDensity	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'unknown': 30, 'comedy': 22, 'drama': 17, 'crime': 7, 'action': 7, 'romance': 4, 'western': 3, 'adventure': 3, 'horror': 2, 'mystery': 2, 'musical': 2, 'thriller': 1}	{'unknown': 36, 'drama': 22, 'comedy': 16, 'western': 5, 'crime': 4, 'action': 4, 'horror': 3, 'thriller': 3, 'romance': 3, 'musical': 2, 'mystery': 1, 'adventure': 1}	{'unknown': 28, 'drama': 28, 'comedy': 14, 'western': 6, 'crime': 4, 'thriller': 4, 'action': 3, 'adventure': 3, 'horror': 2, 'musical': 2, 'mystery': 2, 'film noir': 2, 'romance': 1, 'crime drama': 1}	{'drama': 30, 'unknown': 22, 'comedy': 17, 'western': 7, 'horror': 5, 'crime': 4, 'thriller': 4, 'adventure': 3, 'musical': 2, 'romance': 2, 'mystery': 1, 'action': 1, 'crime drama': 1, 'film noir': 1}	{'comedy': 26, 'unknown': 25, 'drama': 25, 'action': 6, 'thriller': 4, 'mystery': 4, 'romance': 3, 'crime': 2, 'musical': 2, 'adventure': 2, 'film noir': 1}	{'drama': 28, 'unknown': 24, 'comedy': 18, 'crime': 5, 'romance': 5, 'action': 4, 'western': 3, 'horror': 2, 'thriller': 2, 'musical': 2, 'adventure': 2, 'crime drama': 2, 'film noir': 2, 'mystery': 1}	{'drama': 27, 'unknown': 19, 'comedy': 18, 'crime': 6, 'western': 6, 'romance': 5, 'mystery': 4, 'crime drama': 4, 'thriller': 3, 'horror': 2, 'musical': 2, 'action': 2, 'film noir': 2}
EER	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 29, 'unknown': 23, 'comedy': 17, 'western': 5, 'adventure': 5, 'thriller': 4, 'romance': 4, 'crime': 3, 'mystery': 3, 'horror': 2, 'action': 2, 'crime drama': 2, 'film noir': 1}	{'drama': 25, 'unknown': 23, 'comedy': 14, 'crime': 5, 'western': 5, 'thriller': 5, 'action': 5, 'musical': 4, 'mystery': 4, 'horror': 3, 'adventure': 3, 'romance': 2, 'crime drama': 1, 'film noir': 1}	{'unknown': 29, 'drama': 26, 'comedy': 18, 'crime': 5, 'action': 5, 'romance': 3, 'adventure': 3, 'thriller': 2, 'western': 2, 'musical': 2, 'film noir': 2, 'mystery': 2, 'crime drama': 1}	{'drama': 26, 'comedy': 25, 'unknown': 24, 'action': 7, 'romance': 5, 'crime': 3, 'thriller': 3, 'musical': 3, 'mystery': 2, 'western': 1, 'crime drama': 1}	{'drama': 26, 'unknown': 22, 'comedy': 16, 'crime': 9, 'western': 8, 'action': 5, 'horror': 4, 'crime drama': 3, 'musical': 2, 'thriller': 2, 'romance': 1, 'mystery': 1, 'adventure': 1}	{'unknown': 28, 'comedy': 21, 'drama': 21, 'horror': 6, 'crime': 6, 'western': 5, 'romance': 4, 'thriller': 3, 'film noir': 3, 'musical': 2, 'action': 1}	{'unknown': 35, 'drama': 24, 'comedy': 20, 'western': 4, 'romance': 4, 'mystery': 3, 'thriller': 2, 'adventure': 2, 'action': 2, 'horror': 1, 'crime': 1, 'musical': 1, 'film noir': 1}
LAL_iter	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 36, 'comedy': 28, 'western': 8, 'mystery': 7, 'unknown': 5, 'thriller': 4, 'action': 3, 'musical': 2, 'crime drama': 2, 'adventure': 2, 'romance': 2, 'crime': 1}	{'comedy': 33, 'drama': 31, 'western': 13, 'crime': 4, 'mystery': 4, 'musical': 4, 'unknown': 4, 'horror': 2, 'crime drama': 2, 'adventure': 2, 'film noir': 1}	{'drama': 39, 'comedy': 25, 'crime': 7, 'musical': 6, 'film noir': 6, 'adventure': 4, 'western': 3, 'unknown': 3, 'romance': 2, 'crime drama': 2, 'horror': 1, 'thriller': 1, 'mystery': 1}	{'drama': 30, 'crime': 16, 'comedy': 16, 'unknown': 13, 'horror': 5, 'thriller': 4, 'adventure': 4, 'romance': 3, 'mystery': 3, 'musical': 2, 'crime drama': 2, 'film noir': 1, 'action': 1}	{'unknown': 29, 'comedy': 18, 'drama': 16, 'action': 13, 'horror': 5, 'thriller': 5, 'western': 5, 'crime': 4, 'romance': 3, 'adventure': 2}	{'unknown': 35, 'drama': 25, 'comedy': 11, 'action': 10, 'romance': 8, 'thriller': 7, 'horror': 3, 'western': 1}	{'unknown': 95, 'romance': 5}
LAL_indep	{'unknown': 28, 'drama': 26, 'comedy': 21, 'thriller': 7, 'western': 5, 'adventure': 4, 'musical': 3, 'horror': 2, 'film noir': 2, 'romance': 1, 'action': 1}	{'drama': 26, 'unknown': 21, 'comedy': 21, 'western': 7, 'action': 7, 'horror': 6, 'adventure': 3, 'crime': 2, 'thriller': 2, 'mystery': 2, 'musical': 1, 'romance': 1, 'film noir': 1}	{'drama': 29, 'unknown': 22, 'crime': 15, 'comedy': 9, 'action': 9, 'thriller': 4, 'musical': 2, 'romance': 2, 'mystery': 2, 'adventure': 2, 'film noir': 2, 'horror': 1, 'western': 1}	{'drama': 29, 'unknown': 18, 'comedy': 15, 'action': 7, 'adventure': 6, 'crime': 4, 'romance': 4, 'crime drama': 4, 'horror': 3, 'thriller': 3, 'film noir': 3, 'western': 2, 'mystery': 2}	{'drama': 26, 'unknown': 25, 'comedy': 24, 'romance': 6, 'western': 6, 'crime': 3, 'mystery': 3, 'musical': 3, 'thriller': 2, 'crime drama': 1, 'action': 1}	{'drama': 28, 'unknown': 25, 'comedy': 20, 'western': 6, 'mystery': 4, 'thriller': 3, 'musical': 3, 'horror': 2, 'crime': 2, 'action': 2, 'adventure': 2, 'romance': 1, 'crime drama': 1, 'film noir': 1}	{'comedy': 38, 'drama': 31, 'unknown': 8, 'western': 7, 'musical': 5, 'romance': 3, 'crime': 2, 'mystery': 2, 'crime drama': 2, 'horror': 1, 'adventure': 1}	{'unknown': 65, 'drama': 8, 'thriller': 7, 'romance': 6, 'crime': 4, 'comedy': 4, 'horror': 3, 'western': 1, 'film noir': 1, 'action': 1}
