	Strategy	Query	Class	Value
0	Random	q0	drama	26
1	Random	q0	western	5
2	Random	q0	film noir	2
3	Random	q0	thriller	7
4	Random	q0	musical	3
5	Random	q0	crime drama	0
6	Random	q0	romance	1
7	Random	q0	unknown	28
8	Random	q0	comedy	21
9	Random	q0	action	1
10	Random	q0	adventure	4
11	Random	q0	crime	0
12	Random	q0	horror	2
13	Random	q0	mystery	0
14	Random	q1	drama	26
15	Random	q1	western	4
16	Random	q1	film noir	2
17	Random	q1	thriller	2
18	Random	q1	musical	2
19	Random	q1	crime drama	0
20	Random	q1	romance	2
21	Random	q1	unknown	26
22	Random	q1	comedy	19
23	Random	q1	action	3
24	Random	q1	adventure	5
25	Random	q1	crime	6
26	Random	q1	horror	1
27	Random	q1	mystery	2
28	Random	q2	drama	32
29	Random	q2	western	3
30	Random	q2	film noir	1
31	Random	q2	thriller	1
32	Random	q2	musical	1
33	Random	q2	crime drama	0
34	Random	q2	romance	5
35	Random	q2	unknown	27
36	Random	q2	comedy	15
37	Random	q2	action	1
38	Random	q2	adventure	3
39	Random	q2	crime	6
40	Random	q2	horror	3
41	Random	q2	mystery	2
42	Random	q3	drama	30
43	Random	q3	western	4
44	Random	q3	film noir	2
45	Random	q3	thriller	9
46	Random	q3	musical	2
47	Random	q3	crime drama	0
48	Random	q3	romance	1
49	Random	q3	unknown	23
50	Random	q3	comedy	17
51	Random	q3	action	4
52	Random	q3	adventure	1
53	Random	q3	crime	4
54	Random	q3	horror	2
55	Random	q3	mystery	1
56	Random	q4	drama	22
57	Random	q4	western	10
58	Random	q4	film noir	2
59	Random	q4	thriller	3
60	Random	q4	musical	1
61	Random	q4	crime drama	2
62	Random	q4	romance	3
63	Random	q4	unknown	24
64	Random	q4	comedy	21
65	Random	q4	action	4
66	Random	q4	adventure	0
67	Random	q4	crime	4
68	Random	q4	horror	1
69	Random	q4	mystery	3
70	Random	q5	drama	24
71	Random	q5	western	2
72	Random	q5	film noir	1
73	Random	q5	thriller	3
74	Random	q5	musical	3
75	Random	q5	crime drama	3
76	Random	q5	romance	3
77	Random	q5	unknown	29
78	Random	q5	comedy	13
79	Random	q5	action	6
80	Random	q5	adventure	2
81	Random	q5	crime	3
82	Random	q5	horror	4
83	Random	q5	mystery	4
84	Random	q6	drama	23
85	Random	q6	western	0
86	Random	q6	film noir	0
87	Random	q6	thriller	2
88	Random	q6	musical	2
89	Random	q6	crime drama	1
90	Random	q6	romance	6
91	Random	q6	unknown	27
92	Random	q6	comedy	23
93	Random	q6	action	4
94	Random	q6	adventure	1
95	Random	q6	crime	5
96	Random	q6	horror	4
97	Random	q6	mystery	2
98	Random	q7	drama	20
99	Random	q7	western	7
100	Random	q7	film noir	0
101	Random	q7	thriller	1
102	Random	q7	musical	3
103	Random	q7	crime drama	2
104	Random	q7	romance	3
105	Random	q7	unknown	28
106	Random	q7	comedy	23
107	Random	q7	action	5
108	Random	q7	adventure	2
109	Random	q7	crime	4
110	Random	q7	horror	1
111	Random	q7	mystery	1
112	Uncertainty	q0	drama	26
113	Uncertainty	q0	western	5
114	Uncertainty	q0	film noir	2
115	Uncertainty	q0	thriller	7
116	Uncertainty	q0	musical	3
117	Uncertainty	q0	crime drama	0
118	Uncertainty	q0	romance	1
119	Uncertainty	q0	unknown	28
120	Uncertainty	q0	comedy	21
121	Uncertainty	q0	action	1
122	Uncertainty	q0	adventure	4
123	Uncertainty	q0	crime	0
124	Uncertainty	q0	horror	2
125	Uncertainty	q0	mystery	0
126	Uncertainty	q1	drama	19
