	num_instances	performance
0	100	0.5177361409303092
1	200	0.5186537353812037
2	300	0.5379324635547267
3	400	0.5567824354604274
4	500	0.5593823066359965
5	600	0.5557565057209166
6	700	0.5860455076480902
7	800	0.5844223523309001
8	900	0.596910556325495
9	1000	0.5928553704503703
10	1100	0.5989846731213879
11	1200	0.6059382049900975
12	1300	0.6088590887631911
13	1400	0.6150682599553621
14	1500	0.6238180976576203
15	1600	0.6380363532282884
16	1700	0.6291890350299831
17	1800	0.654607952642509
18	1900	0.6454096061301996
19	2000	0.6427445044036362
20	2100	0.6660093124104274
21	2200	0.6632578089860208
22	2300	0.6701105230716975
23	2400	0.6546799189502998
