	Strategy	Query	Class	Value
145	Random	q7	talk.politics.mideast	1
146	Random	q7	comp.graphics	36
147	Random	q7	sci.space	4
148	Random	q7	rec.sport.baseball	6
149	Random	q7	misc.forsale	12
150	Random	q7	talk.politics.guns	2
151	Random	q7	rec.motorcycles	11
152	Random	q7	comp.windows.x	2
153	Random	q7	sci.crypt	2
154	Random	q7	comp.sys.mac.hardware	2
155	Random	q7	talk.politics.misc	2
156	Random	q7	sci.med	5
157	Random	q7	talk.religion.misc	1
158	Random	q7	sci.electronics	2
159	Random	q7	soc.religion.christian	2
160	Uncertainty	q0	rec.sport.hockey	0
161	Uncertainty	q0	rec.autos	5
162	Uncertainty	q0	comp.sys.ibm.pc.hardware	3
163	Uncertainty	q0	comp.os.ms-windows.misc	3
164	Uncertainty	q0	alt.atheism	1
165	Uncertainty	q0	talk.politics.mideast	3
166	Uncertainty	q0	comp.graphics	34
167	Uncertainty	q0	sci.space	3
168	Uncertainty	q0	rec.sport.baseball	7
169	Uncertainty	q0	misc.forsale	6
170	Uncertainty	q0	talk.politics.guns	2
171	Uncertainty	q0	rec.motorcycles	14
172	Uncertainty	q0	comp.windows.x	4
173	Uncertainty	q0	sci.crypt	3
174	Uncertainty	q0	comp.sys.mac.hardware	4
175	Uncertainty	q0	talk.politics.misc	1
176	Uncertainty	q0	sci.med	2
177	Uncertainty	q0	talk.religion.misc	0
178	Uncertainty	q0	sci.electronics	2
179	Uncertainty	q0	soc.religion.christian	3
180	Uncertainty	q1	rec.sport.hockey	3
181	Uncertainty	q1	rec.autos	2
182	Uncertainty	q1	comp.sys.ibm.pc.hardware	0
183	Uncertainty	q1	comp.os.ms-windows.misc	2
184	Uncertainty	q1	alt.atheism	5
185	Uncertainty	q1	talk.politics.mideast	5
186	Uncertainty	q1	comp.graphics	25
187	Uncertainty	q1	sci.space	3
188	Uncertainty	q1	rec.sport.baseball	9
189	Uncertainty	q1	misc.forsale	10
190	Uncertainty	q1	talk.politics.guns	0
191	Uncertainty	q1	rec.motorcycles	8
192	Uncertainty	q1	comp.windows.x	1
193	Uncertainty	q1	sci.crypt	5
194	Uncertainty	q1	comp.sys.mac.hardware	2
195	Uncertainty	q1	talk.politics.misc	1
196	Uncertainty	q1	sci.med	1
197	Uncertainty	q1	talk.religion.misc	10
198	Uncertainty	q1	sci.electronics	2
199	Uncertainty	q1	soc.religion.christian	6
200	Uncertainty	q2	rec.sport.hockey	1
201	Uncertainty	q2	rec.autos	0
202	Uncertainty	q2	comp.sys.ibm.pc.hardware	1
203	Uncertainty	q2	comp.os.ms-windows.misc	0
204	Uncertainty	q2	alt.atheism	7
205	Uncertainty	q2	talk.politics.mideast	4
206	Uncertainty	q2	comp.graphics	14
207	Uncertainty	q2	sci.space	3
208	Uncertainty	q2	rec.sport.baseball	3
209	Uncertainty	q2	misc.forsale	9
210	Uncertainty	q2	talk.politics.guns	8
211	Uncertainty	q2	rec.motorcycles	22
212	Uncertainty	q2	comp.windows.x	0
213	Uncertainty	q2	sci.crypt	2
214	Uncertainty	q2	comp.sys.mac.hardware	0
215	Uncertainty	q2	talk.politics.misc	9
216	Uncertainty	q2	sci.med	10
217	Uncertainty	q2	talk.religion.misc	2
218	Uncertainty	q2	sci.electronics	2
219	Uncertainty	q2	soc.religion.christian	3
220	Uncertainty	q3	rec.sport.hockey	1
221	Uncertainty	q3	rec.autos	1
222	Uncertainty	q3	comp.sys.ibm.pc.hardware	3
223	Uncertainty	q3	comp.os.ms-windows.misc	1
224	Uncertainty	q3	alt.atheism	3
225	Uncertainty	q3	talk.politics.mideast	2
226	Uncertainty	q3	comp.graphics	29
227	Uncertainty	q3	sci.space	4
228	Uncertainty	q3	rec.sport.baseball	6
229	Uncertainty	q3	misc.forsale	12
230	Uncertainty	q3	talk.politics.guns	4
231	Uncertainty	q3	rec.motorcycles	19
232	Uncertainty	q3	comp.windows.x	1
233	Uncertainty	q3	sci.crypt	0
234	Uncertainty	q3	comp.sys.mac.hardware	2
235	Uncertainty	q3	talk.politics.misc	4
236	Uncertainty	q3	sci.med	2
237	Uncertainty	q3	talk.religion.misc	1
238	Uncertainty	q3	sci.electronics	2
239	Uncertainty	q3	soc.religion.christian	3
240	Uncertainty	q4	rec.sport.hockey	4
241	Uncertainty	q4	rec.autos	7
242	Uncertainty	q4	comp.sys.ibm.pc.hardware	4
243	Uncertainty	q4	comp.os.ms-windows.misc	2
244	Uncertainty	q4	alt.atheism	0
245	Uncertainty	q4	talk.politics.mideast	1
246	Uncertainty	q4	comp.graphics	18
247	Uncertainty	q4	sci.space	1
248	Uncertainty	q4	rec.sport.baseball	7
249	Uncertainty	q4	misc.forsale	24
250	Uncertainty	q4	talk.politics.guns	1
251	Uncertainty	q4	rec.motorcycles	17
252	Uncertainty	q4	comp.windows.x	1
253	Uncertainty	q4	sci.crypt	2
254	Uncertainty	q4	comp.sys.mac.hardware	2
255	Uncertainty	q4	talk.politics.misc	1
256	Uncertainty	q4	sci.med	1
257	Uncertainty	q4	talk.religion.misc	1
258	Uncertainty	q4	sci.electronics	5
259	Uncertainty	q4	soc.religion.christian	1
260	Uncertainty	q5	rec.sport.hockey	5
261	Uncertainty	q5	rec.autos	0
262	Uncertainty	q5	comp.sys.ibm.pc.hardware	2
263	Uncertainty	q5	comp.os.ms-windows.misc	5
264	Uncertainty	q5	alt.atheism	0
265	Uncertainty	q5	talk.politics.mideast	0
266	Uncertainty	q5	comp.graphics	45
267	Uncertainty	q5	sci.space	1
268	Uncertainty	q5	rec.sport.baseball	5
269	Uncertainty	q5	misc.forsale	6
270	Uncertainty	q5	talk.politics.guns	0
271	Uncertainty	q5	rec.motorcycles	16
272	Uncertainty	q5	comp.windows.x	5
273	Uncertainty	q5	sci.crypt	3
274	Uncertainty	q5	comp.sys.mac.hardware	4
275	Uncertainty	q5	talk.politics.misc	0
276	Uncertainty	q5	sci.med	0
277	Uncertainty	q5	talk.religion.misc	0
278	Uncertainty	q5	sci.electronics	3
279	Uncertainty	q5	soc.religion.christian	0
280	Uncertainty	q6	rec.sport.hockey	2
