	num_instances	performance
0	100	0.5146250859672932
1	200	0.5402214491792255
2	300	0.5668946683904038
3	400	0.5998970632476388
4	500	0.6082700593206034
5	600	0.6256234043223964
6	700	0.6160834510705425
7	800	0.6384557771831124
8	900	0.6393914018359809
9	1000	0.6350352383382815
10	1100	0.6484491410166003
11	1200	0.6560512833666083
12	1300	0.6482477200012632
13	1400	0.6487083384947572
14	1500	0.6494742924757742
15	1600	0.6564910985880716
16	1700	0.6549911806818323
17	1800	0.6531255117742881
18	1900	0.668092712327136
19	2000	0.6657727035640738
20	2100	0.6613987072369919
21	2200	0.6644401587864985
22	2300	0.6676802744237164
23	2400	0.6717602659646548
